File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  parataxis                 | he gets angry
  coordinated_vp            | and confiscates the hat back from the bird
  coordinated_vp            | and wears it
  subordinate_advcl         | only to find that
  subordinate_ccomp         | there's a tiny little bird
  subordinate_acl:relcl     | or maybe what seems to me as the bird's child within the hat
  subordinate_acl:relcl     | who is now sitting on his head
File: ALL_118_M_HIN_ENG_ST2.TextGrid
Clauses: 42
  independent               | a young boy is sitting under a tree
  coordinated_vp            | and he's using his soap water
  subordinate_advcl         | to make bubbles
  coordinated_vp            | and from his water he's trying
  nonfinite_xcomp           | to create different shapes of animals or just random objects
  coordinated_vp            | and trying to be imaginative
  nonfinite_participle      | in the second frame he's trying
  nonfinite_xcomp           | to make a kangaroo
  subordinate_acl:relcl     | who's playing drums with his bubbles
  coordinated_vp            | and he continues
  nonfinite_xcomp           | doing so
  subordinate_advcl         | by making a lot of random objects such as ships cars and boa
  parataxis                 | in the fourth frame he starts
  nonfinite_xcomp           | making a snake
  subordinate_acl:relcl     | who looks dangerous
  coordinated_vp            | but in the next frame he makes the snake
  nonfinite_xcomp           | curl around itself
  coordinated_vp            | in the very next frame he draws a cat
  subordinate_acl:relcl     | who starts
  nonfinite_xcomp           | chasing the snake
  parataxis                 | and understandably the snake is afraid of the cat
  subordinate_advcl         | in another frame he draw
  coordinated_vp            | he now blows out an elephant
  subordinate_acl:relcl     | who scares the cat
  parataxis                 | and now the cat by itself is afraid of the elephant
  coordinated_vp            | and in the next frame the elephant starts
  nonfinite_xcomp           | chasing the cat out only
  coordinated_vp            | and in the very next frame the boy bubbles out a mouse
  subordinate_acl:relcl     | who starts
  nonfinite_xcomp           | chasing the elephant
  parataxis                 | and this is ironical because the snake
  subordinate_acl:relcl     | which initially started
  nonfinite_xcomp           | chasing the mouse
  subordinate_advcl         | was chased by the cat
  subordinate_acl:relcl     | who was in turn chased by the elephant
  parataxis                 | and the mouse was able
  nonfinite_xcomp           | to chase out the elephant
  subordinate_advcl         | and once all of this was over
  coordinated_vp            | he just poured out his soap water on the floor
  coordinated_vp            | and walked away
  subordinate_advcl         | only to find
  subordinate_ccomp         | a dragon emerge from it
File: ALL_119_F_KOR_ENG_ST1.TextGrid
Clauses: 17
  independent               | one day a very small bird found the hat in the road
  coordinated_vp            | and he put on the hat on his head
  coordinated_vp            | and he walked around with the hat in the forest
  coordinated_vp            | another long leg bird found him
  coordinated_vp            | and he left his hat so he angry that
  coordinated_vp            | and he threw away his hat
  coordinated_vp            | and walked away
  coordinated_vp            | so she put this hat
  coordinated_vp            | and brought to his branches
  coordinated_vp            | and she put this hat on the branch
  coordinated_vp            | and she sat on the hat
  subordinate_acl:relcl     | the small bird which found the hat at first
  coordinated_vp            | found this spot
  subordinate_advcl         | so he take out the hat
  parataxis                 | and she surprised and she angry
  coordinated_vp            | actually in that hat she laid eggs
  coordinated_vp            | and in fact in the head of bird there was a baby bird
File: ALL_119_F_KOR_ENG_ST2.TextGrid
Clauses: 21
  independent               | under the tree there was a one guy
  subordinate_acl:relcl     | his name was jack liked bubbles
  subordinate_advcl         | because he thought
  subordinate_ccomp         | he can make anything
  subordinate_acl:relcl     | he wants
  parataxis                 | at first he made snakes
  coordinated_vp            | and it looks really scary snake
  coordinated_vp            | and the next he made pigs
  coordinated_vp            | but it became a cat
  coordinated_vp            | and it cat chased the snake
  coordinated_vp            | and snakes ran away
  coordinated_vp            | and the next he made elephant
  parataxis                 | an elephant was much bigger than the cat
  coordinated_vp            | and cat scared the elephant an elephant
  coordinated_vp            | an on elephant threw the cat away
  coordinated_vp            | and next jack also blew an elephant away at last
  parataxis                 | he removed all bubbles
  coordinated_vp            | and threw away the liquid
  subordinate_acl:relcl     | that then made bubbles
  coordinated_vp            | and he left the forest
  coordinated_vp            | and he came back to home
File: ALL_120_F_VIE_ENG_ST1.TextGrid
Clauses: 12
  independent               | once a very ugly big bird saw a hat
  parataxis                 | he took her hat
  coordinated_vp            | and wear it
  parataxis                 | a smaller bird saw it
  coordinated_vp            | and laughed at him
  parataxis                 | the ugly big bird was so angry
  coordinated_vp            | and he left the hat
  coordinated_vp            | the smaller bird used the hat as his nest at her nest
  parataxis                 | after that the ugly big bird returned
  coordinated_vp            | and took the hat back
  parataxis                 | he wear the hat on his head
  parataxis                 | and suddenly a baby bird is in his head
File: ALL_120_F_VIE_ENG_ST2.TextGrid
Clauses: 16
  independent               | one day a boy blow the bubbles
  parataxis                 | he imagined
  subordinate_ccomp         | that his bubble have different shape of different kind of th
  parataxis                 | then he blow the bubble
  subordinate_acl:relcl     | that had the shape of a snake
  parataxis                 | after that he blow another bubble with the shape of a bigger
  parataxis                 | the bigger cat bit the snake
  coordinated_vp            | and then he continued
  nonfinite_xcomp           | to blow a bigger elephant
  parataxis                 | the bigger elephant in his turn frightened the cat
  parataxis                 | however after that he blow a small mouse
  coordinated_vp            | and the elephant was frightened by the small mouse
  parataxis                 | he break all the bubbles
  coordinated_vp            | and left the remain of his bubble
  subordinate_advcl         | became a dragon
  coordinated_vp            | but he never seen it
File: ALL_121_F_KOR_ENG_ST1.TextGrid
Clauses: 14
  independent               | albert is watching a hat on the glass
  coordinated_vp            | albert is trying
  nonfinite_xcomp           | to put on a hat
  parataxis                 | albert is working
  subordinate_advcl         | putting on a hat
  coordinated_vp            | and meet other bird
  parataxis                 | the other birds say
  parataxis                 | what is this
  coordinated_vp            | and one bird put off his hat
  coordinated_vp            | then other bird pick it up
  coordinated_vp            | next other bird hug it
  parataxis                 | suddenly one bird take a hat
  coordinated_vp            | and then albert put it on again
  coordinated_vp            | finally a little bird came up
File: ALL_121_F_KOR_ENG_ST2.TextGrid
Clauses: 8
  independent               | one boy is blowing bubble
  subordinate_ccomp         | the bubble is making shape of animal
  subordinate_ccomp         | the bubble have a lot of shape of anything
  parataxis                 | bubble is making shape of long animal like a snake
  parataxis                 | and pig a tiger and elephant
  parataxis                 | so a boy is very happy
  subordinate_ccomp         | a boy is blowing bubble again
  parataxis                 | so a bubble a bubble a bubble is gone
File: ALL_122_M_TUR_ENG_ST1.TextGrid
Clauses: 22
  independent               | a black bird sees a shoe
  coordinated_vp            | a black bird sees a hat
  coordinated_vp            | and takes him
  coordinated_vp            | and just wears it
  subordinate_advcl         | and after he wears it
  coordinated_vp            | he saw another bird
  subordinate_acl:relcl     | that bird thinks
  subordinate_ccomp         | that the hat is very funny
  coordinated_vp            | and therefore the other bird takes the hat off
  coordinated_vp            | and just leaves there
  subordinate_advcl         | after it leaves
  coordinated_vp            | the other bird takes the hat
  coordinated_vp            | and goes to the place
  subordinate_acl:relcl     | it lives in
  coordinated_vp            | the other bird sees it
  coordinated_vp            | and then it realizes
  subordinate_ccomp         | that can i start from the beginning okay
  parataxis                 | the black bird sees the white one
  nonfinite_xcomp           | and decides to take his hat back
  subordinate_advcl         | but when he takes its hat back
  coordinated_vp            | it realizes
  subordinate_ccomp         | that the other bird was using the hat as an nest
File: ALL_122_M_TUR_ENG_ST2.TextGrid
Clauses: 22
  independent               | there is a guy
  subordinate_acl           | sitting under a tree
  coordinated_vp            | and he's playing with some bubbles
  parataxis                 | he tries
  nonfinite_xcomp           | to make a lot of different shapes
  parataxis                 | first he makes an eel then a snake and an elephant
  parataxis                 | maybe then the elephant follows the snake
  parataxis                 | no it was a tiger
  parataxis                 | the tiger was following the bubble snake
  parataxis                 | then he makes an elephant
  coordinated_vp            | an elephant just scares the tiger
  coordinated_vp            | and the elephant then comes back
  parataxis                 | but he cannot stand on the ground
  subordinate_advcl         | since it's a bubble
  coordinated_vp            | and it starts to fly
  parataxis                 | after that the kid just pours the liquid
  subordinate_acl:relcl     | he was using
  subordinate_advcl         | to create those bubbles
  coordinated_vp            | and leaves the place
  independent               | and i guess
  parataxis                 | a small creature like a snake but it's not a snake
  subordinate_ccomp         | just waves behind him
File: ALL_124_M_SHS_ENG_ST1.TextGrid
Clauses: 12
  independent               | a black bird sees a hat
  coordinated_vp            | he puts the hat on
  coordinated_vp            | and starts walking
  coordinated_vp            | a white bird sees the black bird
  subordinate_acl           | wearing the hat
  coordinated_vp            | and makes fun of him
  coordinated_vp            | the black bird takes the hat
  subordinate_advcl         | off the white bird sits in the hat
  parataxis                 | the black bird sees
  coordinated_vp            | and takes the hat back
  coordinated_vp            | the white bird gets angry
  coordinated_vp            | and knocks the hat off of his head
File: ALL_124_M_SHS_ENG_ST2.TextGrid
Clauses: 8
  independent               | a young boy is sitting beneath a tree with a bottle of bubbl
  parataxis                 | he blows lots of bubbles in different shapes
  coordinated_vp            | he blows animals like snakes and cats and elephants
  coordinated_vp            | he finishes
  nonfinite_xcomp           | blowing bubbles
  coordinated_vp            | and dumps the solution on the ground
  subordinate_acl:relcl     | the animals that he left behind are sad
  subordinate_ccomp         | that he leaves
File: ALL_125_F_TUR_ENG_ST1.TextGrid
Clauses: 19
  independent               | one day a fluffy bird found a hat on the grass
  coordinated_vp            | and he grabbed the hat
  coordinated_vp            | and put it on his head
  parataxis                 | the fluffy bird was walking with the hat on his head
  parataxis                 | then he saw
  subordinate_ccomp         | the not so fluffy bird was pointing the hat on the fluffy bi
  coordinated_vp            | and making fun of him
  coordinated_vp            | so the fluffy bird threw away the hat
  coordinated_vp            | and thus leaving the hat for the not so fluffy bird
  coordinated_vp            | took the hat
  coordinated_vp            | and was playing with it
  subordinate_advcl         | so the fluffy bird saw
  subordinate_ccomp         | that the not so fluffy bird was wanting the hat
  parataxis                 | he came back
  coordinated_vp            | and took the hat away from the hands of not so fluffy bird
  coordinated_vp            | and put it on his head again
  subordinate_advcl         | so at last there was a little bird on a fluffy bird's head
  parataxis                 | and the hat was on the ground
  subordinate_advcl         | so nobody could take the hat
File: ALL_125_F_TUR_ENG_ST2.TextGrid
Clauses: 21
  independent               | a little boy is blowing out bubbles from a circleshaped stic
  coordinated_vp            | he is making all kinds of shapes with the bubbles
  coordinated_vp            | and he is having a lot of fun
  parataxis                 | he is actually running around with the stick
  subordinate_advcl         | to make the air
  nonfinite_xcomp           | blow the bubbles
  coordinated_vp            | then he blows out the shape of a bubble snake
  coordinated_vp            | and then he blows out the shape of a pig
  coordinated_vp            | and then the pig follows the snake
  coordinated_vp            | so he blows out another animal
  subordinate_acl:relcl     | which is an elephant
  coordinated_vp            | and the elephant starts
  nonfinite_xcomp           | to chase the pig
  coordinated_vp            | then they all fly away
  coordinated_vp            | and the boy is left with nothing
  coordinated_vp            | then he pours out the contents of the stuff
  subordinate_acl:relcl     | he is pouring out
  coordinated_vp            | and there goes a dragon out of the floor
  coordinated_vp            | but the kid doesn't see the dragon
  coordinated_vp            | and walks away
  coordinated_vp            | and continues his day
File: ALL_126_M_TUR_ENG_ST1.TextGrid
Clauses: 13
  independent               | a bird just found a hat
  coordinated_vp            | and worn it
  coordinated_vp            | and then just another bird showed up
  coordinated_vp            | and just kind of argued with the hat
  coordinated_vp            | and just the bird with the hat just left the hat behind
  coordinated_vp            | and then other bird just took the hat
  coordinated_vp            | and made the hat as a home
  coordinated_vp            | but the other bird became angry
  coordinated_vp            | and came back
  coordinated_vp            | and just took the hat back
  parataxis                 | and there was a argument or what these two birds
  parataxis                 | then they couldn't recognize
  subordinate_ccomp         | that there was actually a little bird inside of the hat
File: ALL_126_M_TUR_ENG_ST2.TextGrid
Clauses: 13
  independent               | there was a little kid and
  coordinated_vp            | he just made some balloons
  coordinated_vp            | and he just created some figures like an automobile a little
  coordinated_vp            | but then he made a snake and a kind of a tiger
  coordinated_vp            | and that tiger just beat the snake
  coordinated_vp            | and there then that kid made an elephant
  subordinate_acl:relcl     | which was actually stronger than the tiger
  coordinated_vp            | and this time the elephant just beat the tiger
  coordinated_vp            | but at the end just kid destroyed the elephant
  coordinated_vp            | and then he just dropped all of his soaps
  subordinate_acl:relcl     | that he used
  subordinate_advcl         | to make some balloons
  coordinated_vp            | and he just went back home
File: ALL_139_M_PBR_ENG_ST1.TextGrid
Clauses: 26
  subordinate_advcl         | to take a minute
  subordinate_advcl         | to plan it
  subordinate_advcl         | if you don't
  parataxis                 | that's fine
  independent               | you can start
  subordinate_advcl         | whenever you like
  nonfinite_participle      | it's already recording
  independent               | one day a very hairy bird found a hat in his path
  coordinated_vp            | and he found
  subordinate_ccomp         | that was a very nice hat
  coordinated_vp            | and then he put in his own hat
  subordinate_advcl         | and while he's walking through the forest
  coordinated_vp            | he found another bird and another bird
  nonfinite_xcomp           | make fun of him about his new hat
  subordinate_advcl         | and then feeling very insecure about his own appearance
  coordinated_vp            | he left the hat in the ground
  subordinate_acl:relcl     | and so this bird that made fun of this hairy bird
  coordinated_vp            | found that was a very good idea
  subordinate_csubj         | to use this hat as a nest to himself and to his family
  subordinate_advcl         | when the other bird found out this
  subordinate_ccomp         | that he took an advantage of his feelings
  nonfinite_xcomp           | he tried to pick up the hair the hat again
  coordinated_vp            | and put the hat in his own head
  coordinated_vp            | but amazingly enough there was a little bird in this hat
  parataxis                 | and that he was the bird
  subordinate_acl           | made fun of him again end of the story
File: ALL_139_M_PBR_ENG_ST2.TextGrid
Clauses: 29
  parataxis                 | actually fazendo we use the
  parataxis                 | of course fazendo everything all right
  independent               | take your time and it's recording
  subordinate_advcl         | whenever you're ready
  parataxis                 | one day this little kid fled from his parents house
  parataxis                 | took lsd
  parataxis                 | and went
  nonfinite_xcomp           | playing with the bubbles
  subordinate_advcl         | and while he is blowing bubbles
  coordinated_vp            | he was imagining himself
  nonfinite_xcomp           | seeing a lot of different animals and kangaroos
  subordinate_acl           | having a very nice trip
  parataxis                 | so for example he began
  nonfinite_xcomp           | to saw kangaroos
  coordinated_vp            | and then he began
  nonfinite_xcomp           | to see cars and a lot of different machines
  coordinated_vp            | and then he began
  nonfinite_xcomp           | to travel
  nonfinite_xcomp           | to see different animals for example a snake a bear a kind o
  coordinated_vp            | and then he imagined
  subordinate_ccomp         | that a bubble turned out to be a extremely big cat
  subordinate_acl:relcl     | that chased the this boa constrictor
  coordinated_vp            | and then finally he saw an elephant
  subordinate_acl:relcl     | that chased this cat
  subordinate_advcl         | but while he was imagining all these animals
  coordinated_vp            | he finally saw a dragon
  parataxis                 | and this dragon was a very bad trip
  coordinated_vp            | and he was scared by the dragon
  coordinated_vp            | and he ran to his parents house again and end of the story
File: ALL_140_M_RUS_ENG_ST1.TextGrid
Clauses: 30
  independent               | i started recording
  subordinate_advcl         | so you can start what's
  nonfinite_xcomp           | happening in fourth picture
  subordinate_ccomp         | that yeah this one's laughing at him okay
  parataxis                 | a bird was taking a walk
  coordinated_vp            | and he saw a hat
  coordinated_vp            | he took the hat
  coordinated_vp            | and put it on
  coordinated_vp            | and he continued walking soon
  parataxis                 | he met another bird
  coordinated_vp            | and the other bird started laughing
  subordinate_advcl         | because the hat looked ridiculously so our okay
  parataxis                 | can i start again okay
  independent               | the bird mike was taking a walk
  coordinated_vp            | and he saw a hat
  parataxis                 | he picked up the hat
  coordinated_vp            | and put it on
  nonfinite_xcomp           | and continued walking soon
  parataxis                 | he met his friend bill bill thought
  subordinate_ccomp         | that the hat looked ridiculously
  coordinated_vp            | and he started laughing
  parataxis                 | mike was embarrassed
  coordinated_vp            | and ran away
  coordinated_vp            | and left the hat behind him
  parataxis                 | bill picked up the hat
  coordinated_vp            | and made an nest of it
  subordinate_advcl         | while mike was watching him
  parataxis                 | then mike took his hat back
  coordinated_vp            | and put it on
  parataxis                 | but there was a bird in inside the hat
File: ALL_140_M_RUS_ENG_ST2.TextGrid
Clauses: 27
  independent               | what's happening in the thirteenth picture
  parataxis                 | he blew a little mouse in the thirteenth
  nonfinite_participle      | thirteenth he's throwing away the bubbles
  subordinate_advcl         | that enough he's pouring them out all right
  parataxis                 | i know
  subordinate_ccomp         | it's a little too small for the screen
  coordinated_vp            | but we can't make it any bigger
  parataxis                 | all right whenever you're ready all
  subordinate_advcl         | right a kid was sitting under a tree
  subordinate_advcl         | blowing bubbles
  parataxis                 | he blew all kinds of things like a kangaroo a car and so on
  independent               | but then he started
  nonfinite_xcomp           | blowing a snake
  subordinate_advcl         | and after he blew a snake
  coordinated_vp            | he started
  nonfinite_xcomp           | blowing a cat
  coordinated_vp            | and the cat started
  nonfinite_xcomp           | chasing the snake
  parataxis                 | then the boy blew an elephant
  coordinated_vp            | and the elephant started
  nonfinite_xcomp           | chasing the cat
  coordinated_vp            | and then the boy blew a mouse
  coordinated_vp            | and the elephant started
  nonfinite_xcomp           | running away from the mouse
  parataxis                 | then the boy poured the liquid in the ground
  coordinated_vp            | and walked away
  coordinated_vp            | but the dragon was standing there
File: ALL_141_M_HEB_ENG_ST1.TextGrid
Clauses: 41
  independent               | so i'm beginning the recording
  coordinated_vp            | and you can do
  subordinate_ccomp         | whatever you like jerry
  parataxis                 | the bird was looking at a hat
  subordinate_acl:relcl     | that he found on the ground
  coordinated_vp            | i'm gonna start over okay jerry
  parataxis                 | the bird was traveling
  subordinate_advcl         | when he suddenly saw a hat
  parataxis                 | he took the hat
  coordinated_vp            | and put it on his head happily
  coordinated_vp            | he walked with the hat on his hand
  subordinate_advcl         | when suddenly saw another bird
  subordinate_acl:relcl     | which was yelling at him
  subordinate_ccomp         | that's his hat
  parataxis                 | that's his jerry
  parataxis                 | jerry the bird was traveling
  subordinate_advcl         | when suddenly saw a hat
  parataxis                 | he took the hat
  coordinated_vp            | and put it on his head
  coordinated_vp            | and continued going
  parataxis                 | suddenly another bird saw him
  nonfinite_xcomp           | and started yelling at him
  subordinate_ccomp         | that's my hat
  parataxis                 | jerry got scared
  coordinated_vp            | and the hat fell off his head
  parataxis                 | he went away
  coordinated_vp            | and the other bird took it to himself
  parataxis                 | then the bird decided
  nonfinite_xcomp           | to make a nest of the hat
  subordinate_acl:relcl     | but jerry who saw this
  parataxis                 | was very angry
  coordinated_vp            | he went to the bird
  coordinated_vp            | and told him
  subordinate_ccomp         | this is not for nesting
  parataxis                 | this is for the hat
  parataxis                 | he took the hat from him
  coordinated_vp            | and put it on his head
  coordinated_vp            | then he went
  coordinated_vp            | but suddenly saw
  subordinate_ccomp         | that there was a little bird inside the hat
  parataxis                 | and now it's on his head
File: ALL_141_M_HEB_ENG_ST2.TextGrid
Clauses: 27
  independent               | and i need
  nonfinite_xcomp           | to tell it like a story
  coordinated_vp            | or you can just describe
  subordinate_advcl         | if you want
  parataxis                 | yeah however you think
  parataxis                 | is appropriate okay so tom was sitting under the tree
  subordinate_advcl         | making bubbles
  coordinated_vp            | he made a kangaroo from his bubbles
  coordinated_vp            | then he made a lot of other things like cars things like tha
  parataxis                 | he was very happy
  coordinated_vp            | and then he made a snake
  coordinated_vp            | he then proceeded
  subordinate_advcl         | in doing other kinds of bubbles
  parataxis                 | but the snake was there still
  coordinated_vp            | and he was looking at him
  parataxis                 | the boy did another bubble of a giant cat or something
  parataxis                 | which chased the snake
  coordinated_vp            | and drove him away
  coordinated_vp            | then he did another bubble of an elephant
  coordinated_vp            | and the elephant drove the giant cat away
  coordinated_vp            | then he did another bubble of a mice a mouth
  coordinated_vp            | and the mouth drove the elephant away
  coordinated_vp            | they all went away
  coordinated_vp            | and the boy got bored
  coordinated_vp            | and poured all the soap down to earth
  subordinate_advcl         | and when he went away
  coordinated_vp            | the soap turned into a dragon
File: ALL_142_M_RUS_ENG_ST1.TextGrid
Clauses: 83
  independent               | i'm sorry
  subordinate_ccomp         | that yeah okay i will try a male bird
  parataxis                 | a boy bird found a hat
  parataxis                 | not no no no i should try again
  parataxis                 | a boy bird found a hat
  parataxis                 | he started
  nonfinite_xcomp           | to wear it
  parataxis                 | no no no okay a boy bird found a hat
  parataxis                 | he started
  nonfinite_xcomp           | to wear it
  parataxis                 | he was trying
  nonfinite_xcomp           | to impress the girl bird
  coordinated_vp            | but the girl bird was laughing at him
  coordinated_vp            | and he dropped off his hat and left
  subordinate_ccomp         | the girl bird grabbed the hat
  nonfinite_xcomp           | and started to sit in it
  coordinated_vp            | sit on it
  coordinated_vp            | but then the boy burst
  parataxis                 | okay i'll try again
  parataxis                 | yeah so should they begin again
  parataxis                 | i guess now
  subordinate_ccomp         | that i interrupted it yeah
  coordinated_vp            | but you don't have to worry
  subordinate_advcl         | about it being perfect
  parataxis                 | this isn't a test
  parataxis                 | we can't tell you
  subordinate_ccomp         | you're wrong right
  parataxis                 | i can tell yeah sorry about that
  parataxis                 | yeah never mind
  subordinate_ccomp         | you're doing great
  parataxis                 | it's fun
  parataxis                 | i think
  subordinate_ccomp         | it's fun you don't
  parataxis                 | yeah i think
  subordinate_ccomp         | it's fun too but yeah i'm sorry
  parataxis                 | yeah at least it's not a test
  coordinated_vp            | yeah exactly yeah we're not getting you on it yeah
  coordinated_vp            | but by the way after that i passed the test
  subordinate_advcl         | since i didn't have any requirements
  parataxis                 | i forgot about it
  coordinated_vp            | and just left it
  coordinated_vp            | but then i found
  subordinate_ccomp         | that the linguistic department or something like that they p
  subordinate_acl           | to learn accent stuff
  independent               | yeah yeah yeah by by by yourself the software is it called n
  parataxis                 | maybe yeah yeah yeah i think
  subordinate_ccomp         | it had a word native in it interesting
  coordinated_vp            | but then i found
  subordinate_ccomp         | that all the software corporates were already too taken
  parataxis                 | and then yeah it's
  subordinate_advcl         | kind like the corporates are limited or something like that
  parataxis                 | i don't know
  subordinate_advcl         | if you haven't heard anything about it
  subordinate_ccomp         | then okay i'll email some people
  parataxis                 | what's the problem
  subordinate_advcl         | if you want it
  coordinated_vp            | and they can't provide it to you
  parataxis                 | they should be able
  nonfinite_xcomp           | to give it one more shot
  parataxis                 | yeah it doesn't have to be perfect
  coordinated_vp            | but tell me
  subordinate_ccomp         | what's happening
  parataxis                 | let's move on okay
  independent               | a boy bird found the hat
  parataxis                 | he started
  nonfinite_xcomp           | to wear it everywhere
  nonfinite_xcomp           | trying to impress the girl bird
  coordinated_vp            | but the girl bird surprisingly started
  nonfinite_xcomp           | to laugh at him
  coordinated_vp            | and he dropped off his hat and left
  coordinated_vp            | and then the girl bird started
  nonfinite_xcomp           | to use this hat
  subordinate_advcl         | by sitting on it
  nonfinite_xcomp           | and trying to sit out the egg
  parataxis                 | but the boy bird started
  parataxis                 | he wanted to be very nasty
  coordinated_vp            | and he pulled out the hat out of the girl bird
  nonfinite_xcomp           | and started to wear it again
  coordinated_vp            | but then something strange was going on
  parataxis                 | surprisingly the egg cracked
  coordinated_vp            | and the teeny tiny bird went out of the egg
  coordinated_vp            | and this teeny tiny bird he dropped the hat of the boy bird
  parataxis                 | and the girl bird was amazed and the boy bird was ashamed ag
File: ALL_142_M_RUS_ENG_ST2.TextGrid
Clauses: 23
  independent               | a boy was making bubbles with his toy
  parataxis                 | he made a kangaroo and a lot of other stuff like cars and wh
  coordinated_vp            | but then he made a snake
  parataxis                 | but the snake was very scary
  subordinate_advcl         | so he decided
  nonfinite_xcomp           | to make something else
  subordinate_advcl         | to scare away
  parataxis                 | he made a cat
  coordinated_vp            | the cat scared away the snake
  parataxis                 | but it was scared itself
  subordinate_advcl         | so he decided
  nonfinite_xcomp           | to draw an animal elephant
  subordinate_acl:relcl     | that was scary away
  parataxis                 | the cat and elephant scared away the cat
  parataxis                 | but again he was scared itself
  subordinate_advcl         | so the clever boy decided
  nonfinite_xcomp           | to make a bubble of mice and the mice
  coordinated_vp            | scared away the elephant
  coordinated_vp            | and the boy popped the mouse
  coordinated_vp            | and left the liquid water
  subordinate_acl:relcl     | from which he was making bubbles on the ground and left
  subordinate_advcl         | but when he was leaving
  coordinated_vp            | a dragon popped out of this liquid water okay
File: ALL_143_M_FAR_ENG_ST1.TextGrid
Clauses: 32
  independent               | i'm a terrible narrator by the way
  parataxis                 | just keep that in mind
  parataxis                 | it'll be fine as long
  subordinate_advcl         | as they feel
  subordinate_advcl         | like you need
  parataxis                 | or is little good
  subordinate_advcl         | to go
  parataxis                 | once upon a time emily finds a hat a strange one
  parataxis                 | she tries it
  coordinated_vp            | and she kind of likes it
  parataxis                 | but michael
  subordinate_advcl         | when he saws
  subordinate_advcl         | when he sees her
  nonfinite_xcomp           | starts laughing at her
  coordinated_vp            | and makes her pretty angry
  parataxis                 | emily drops the hat
  coordinated_vp            | and leaves it there
  parataxis                 | michael goes
  coordinated_vp            | and picks up the hat
  coordinated_vp            | and uses that as a nest
  subordinate_advcl         | when emily finds out
  subordinate_ccomp         | what michael has done
  parataxis                 | she becomes very angry
  parataxis                 | and goes and tries
  nonfinite_xcomp           | to get the hat back
  parataxis                 | she gets the hat back
  coordinated_vp            | and again tries on
  nonfinite_xcomp           | tries it on
  coordinated_vp            | but this time there's
  parataxis                 | a chicken in the hat apparently
  coordinated_vp            | and again michael starts
  nonfinite_xcomp           | laughing again
File: ALL_143_M_FAR_ENG_ST2.TextGrid
Clauses: 34
  independent               | what's this called the thing
  subordinate_acl:relcl     | that you blow in
  parataxis                 | gosh technically a bubble wand it's like a plastic stick wit
  parataxis                 | so a wand wand this getting started let me think
  parataxis                 | a little bit okay once upon a time
  independent               | michael b got a bubble wand
  parataxis                 | you said something like that
  parataxis                 | as a birthday gift it was his very first gift
  subordinate_advcl         | so he went to somewhere quiet
  subordinate_advcl         | to play with it
  parataxis                 | he started
  nonfinite_xcomp           | making bubbles out of it
  parataxis                 | he blew in it
  coordinated_vp            | and made tons of yet beautiful and interesting bubbles
  parataxis                 | he kind of got bored about it
  nonfinite_xcomp           | and tried to come up with a new thing
  subordinate_acl:relcl     | the next thing he tried
  parataxis                 | was a snake
  coordinated_vp            | but he kind of got scared of that snake
  coordinated_vp            | and after that he figured
  subordinate_ccomp         | i could make a cat out of a bubble
  subordinate_acl:relcl     | that could chase the snake away
  coordinated_vp            | and after that he made an elephant
  subordinate_advcl         | to chase away the cat
  coordinated_vp            | and not long after that he wanted
  nonfinite_xcomp           | to get rid of the elephant too
  parataxis                 | so he just made a mouse out of the bubble
  coordinated_vp            | and not long after that he got bored of the bubbles and trie
  nonfinite_xcomp           | to destroy them somehow
  subordinate_acl:relcl     | and the next thing he got
  coordinated_vp            | he gets bored
  subordinate_advcl         | out of making bubbles
  coordinated_vp            | and pours the bubbles away
  coordinated_vp            | but unfortunately a dragon rises from the bubbles of water s
File: ALL_144_M_RUS_ENG_ST1.TextGrid
Clauses: 42
  independent               | okay so you can think about what
  subordinate_acl:relcl     | you want to say
  coordinated_vp            | or you can just start
  subordinate_ccomp         | whatever works
  parataxis                 | once upon a time there lived a black bird
  subordinate_acl:relcl     | which looked like a mix of penguin and the gremlin that's wh
  subordinate_acl:relcl     | he was called gremlin
  parataxis                 | once upon a time he's been walking in the meadows
  coordinated_vp            | and he found a hat a cylinder
  subordinate_advcl         | to be precise
  parataxis                 | he liked that cylinder
  coordinated_vp            | and put it on
  parataxis                 | he's been walking around in the cylinder
  subordinate_advcl         | until he met his fellow friend
  parataxis                 | whose name was chicken chicken
  subordinate_acl           | lefted gremlin because of his stupid hat
  subordinate_advcl         | as he said
  subordinate_ccomp         | gremlin got mad
  subordinate_ccomp         | threw the hat away
  coordinated_vp            | and walked in the direction opposite from what
  subordinate_acl:relcl     | he intended to chicken
  parataxis                 | satisfied with this outcome
  subordinate_advcl         | took the hat
  subordinate_acl:relcl     | that the gremlin dropped
  coordinated_vp            | and made it his own
  subordinate_advcl         | walked away with pride and with a hat
  subordinate_advcl         | however the next day when gremlin has been walking around in
  nonfinite_xcomp           | he spotted the chicken
  subordinate_acl           | sitting on this very hat
  parataxis                 | he got envious
  subordinate_advcl         | because the chicken said
  subordinate_ccomp         | the hat was silly
  subordinate_advcl         | so he tricked me
  parataxis                 | the gremlin said
  subordinate_ccomp         | now he wanted this hat back so badly
  subordinate_advcl         | that he walked up to the chicken
  coordinated_vp            | and took his hat back
  coordinated_vp            | and put it on
  coordinated_vp            | but it turned out
  subordinate_ccomp         | that this hat served as a nest for the chicken
